Timestamp,PM2.5 (µg/m³),Station,Actual_PM2.5_24h,Predicted_PM2.5_24h
2026-04-07 07:00:00,69.0,Talkatora DIC,28.0,49.106127872704604
2026-04-07 08:00:00,73.5,Talkatora DIC,30.0,52.002208480392135
2026-04-07 09:00:00,79.5,Talkatora DIC,31.0,55.997841374458865
2026-04-07 10:00:00,84.5,Talkatora DIC,49.25,85.80188281615983
2026-04-07 11:00:00,81.5,Talkatora DIC,45.5,74.94664190769655
2026-04-07 12:00:00,89.25,Talkatora DIC,38.75,66.95909390798856
2026-04-07 13:00:00,66.5,Talkatora DIC,47.25,67.57212922475266
2026-04-07 14:00:00,51.25,Talkatora DIC,32.5,48.13035559523809
2026-04-07 15:00:00,58.25,Talkatora DIC,44.5,43.95732188191437
2026-04-07 16:00:00,57.25,Talkatora DIC,37.75,47.394110000000005
2026-04-07 17:00:00,46.0,Talkatora DIC,39.67,49.71924083333333
2026-04-07 18:00:00,58.5,Talkatora DIC,42.75,43.90481017713366
2026-04-07 19:00:00,90.0,Talkatora DIC,51.25,50.471870423280414
2026-04-07 20:00:00,73.0,Talkatora DIC,41.25,80.73320011904767
2026-04-07 21:00:00,52.0,Talkatora DIC,42.75,61.09950506613766
2026-04-07 22:00:00,43.5,Talkatora DIC,26.75,52.25334870370371
2026-04-07 23:00:00,34.33,Talkatora DIC,29.33,51.97100521825393
2026-04-08 00:00:00,33.0,Talkatora DIC,27.25,42.43051901760279
2026-04-08 01:00:00,36.75,Talkatora DIC,28.0,38.28183542696639
2026-04-08 02:00:00,37.0,Talkatora DIC,27.25,42.32418352886447
2026-04-08 03:00:00,25.33,Talkatora DIC,26.25,39.30897313727939
2026-04-08 04:00:00,26.75,Talkatora DIC,20.5,32.67696715838508
2026-04-08 05:00:00,26.25,Talkatora DIC,24.5,33.02826848986763
2026-04-08 06:00:00,27.0,Talkatora DIC,28.5,34.271795915103404
2026-04-08 07:00:00,28.0,Talkatora DIC,34.33,39.73069456932303
2026-04-08 08:00:00,30.0,Talkatora DIC,30.5,43.070113248557
2026-04-08 09:00:00,31.0,Talkatora DIC,34.5,50.258433981502485
2026-04-08 10:00:00,49.25,Talkatora DIC,31.25,50.33425386245487
2026-04-08 11:00:00,45.5,Talkatora DIC,47.5,45.272394956644526
2026-04-08 12:00:00,38.75,Talkatora DIC,31.75,41.35306177474704
2026-04-08 13:00:00,47.25,Talkatora DIC,44.5,40.96635200121126
2026-04-08 14:00:00,32.5,Talkatora DIC,36.0,43.68922434803256
2026-04-08 15:00:00,44.5,Talkatora DIC,41.25,38.601846616453436
2026-04-08 16:00:00,37.75,Talkatora DIC,34.5,39.148999747811125
2026-04-08 17:00:00,39.67,Talkatora DIC,43.0,41.94221903598711
2026-04-08 18:00:00,42.75,Talkatora DIC,50.5,42.2669769914987
2026-04-08 19:00:00,51.25,Talkatora DIC,47.5,50.66965165194671
2026-04-08 20:00:00,41.25,Talkatora DIC,48.0,65.31376291819288
2026-04-08 21:00:00,42.75,Talkatora DIC,66.25,60.21048680027754
2026-04-08 22:00:00,26.75,Talkatora DIC,47.25,65.34587478636499
2026-04-08 23:00:00,29.33,Talkatora DIC,64.67,63.39363086186358
2026-04-09 00:00:00,27.25,Talkatora DIC,58.75,46.65623239113601
2026-04-09 01:00:00,28.0,Talkatora DIC,61.75,56.2404618644928
2026-04-09 02:00:00,27.25,Talkatora DIC,49.25,53.99589557535921
2026-04-09 03:00:00,26.25,Talkatora DIC,59.75,43.68648251539522
2026-04-09 04:00:00,20.5,Talkatora DIC,52.0,44.83205615434886
2026-04-09 05:00:00,24.5,Talkatora DIC,58.25,43.93922624453644
2026-04-09 06:00:00,28.5,Talkatora DIC,43.5,46.20295283183803
2026-04-09 07:00:00,34.33,Talkatora DIC,49.25,46.75090465521712
2026-04-09 08:00:00,30.5,Talkatora DIC,58.25,46.47493582409801
2026-04-09 09:00:00,34.5,Talkatora DIC,54.25,46.9119157158729
2026-04-09 10:00:00,31.25,Talkatora DIC,49.5,55.91521458754011
2026-04-09 11:00:00,47.5,Talkatora DIC,53.5,51.81252255170555
2026-04-09 12:00:00,31.75,Talkatora DIC,65.0,53.59820092394574
2026-04-09 13:00:00,44.5,Talkatora DIC,63.25,54.295725183844645
2026-04-09 14:00:00,36.0,Talkatora DIC,51.0,45.855553473210115
2026-04-09 15:00:00,41.25,Talkatora DIC,53.5,53.54195120091527
2026-04-09 16:00:00,34.5,Talkatora DIC,41.25,51.61812969343661
2026-04-09 17:00:00,43.0,Talkatora DIC,50.0,53.38746280888148
2026-04-09 18:00:00,50.5,Talkatora DIC,41.0,54.59913925079192
2026-04-09 19:00:00,47.5,Talkatora DIC,45.5,55.88282671440092
2026-04-09 20:00:00,48.0,Talkatora DIC,63.25,53.982494087690434
2026-04-09 21:00:00,66.25,Talkatora DIC,89.5,53.938833949037864
2026-04-09 22:00:00,47.25,Talkatora DIC,76.5,47.07875486111113
2026-04-09 23:00:00,64.67,Talkatora DIC,61.67,50.17948117784993
2026-04-10 00:00:00,58.75,Talkatora DIC,51.0,49.63003251984131
2026-04-10 01:00:00,61.75,Talkatora DIC,57.0,46.974526567460316
2026-04-10 02:00:00,49.25,Talkatora DIC,57.0,47.957062123015895
2026-04-10 03:00:00,59.75,Talkatora DIC,39.75,38.8718486453824
2026-04-10 04:00:00,52.0,Talkatora DIC,47.0,44.147558798100015
2026-04-10 05:00:00,58.25,Talkatora DIC,42.5,43.85540673141513
