Timestamp,PM2.5 (µg/m³),target_pm25_24h,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_lag_168,pm25_roll_mean_6,pm25_roll_std_6,pm25_roll_mean_12,pm25_roll_std_12,pm25_roll_mean_24,pm25_roll_std_24,pm25_roll_mean_72,pm25_roll_std_72
2026-02-09 04:00:00,73.5,65.5,4,0,2,40,0,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,82.5,135.5,79.75,37.5,38.5,35.25,34.75,48.75,101.75,22.477766792987897,77.97916666666667,31.756971019498398,61.791666666666664,28.8081799474414,56.22222222222222,23.124987839949775
2026-02-09 05:00:00,62.25,67.5,5,0,2,40,0,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,73.5,122.75,95.5,33.75,40.75,40.75,33.25,47.25,100.70833333333333,23.806730490905608,80.97916666666667,29.181341005490413,63.25,28.461644671230967,56.760416666666664,23.069072549078854
2026-02-09 06:00:00,62.75,87.0,6,0,2,40,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,62.25,82.5,94.5,43.5,46.25,49.0,31.25,44.5,95.16666666666667,28.640734394680045,83.35416666666667,25.9712380978124,64.14583333333333,28.058161320135927,57.16319444444444,22.905391752641034
2026-02-09 07:00:00,64.75,78.5,7,0,2,40,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,62.75,73.5,135.5,58.5,48.5,52.75,39.25,51.0,89.875,31.571644714837646,84.95833333333334,23.78856518021343,64.83333333333333,27.80157434808304,57.60069444444444,22.703409952133438
2026-02-09 08:00:00,87.75,96.25,8,0,2,40,0,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,64.75,62.25,122.75,74.25,59.25,59.75,56.5,60.0,78.08333333333333,23.234493036573646,85.47916666666667,23.21819876277676,65.51041666666667,27.583517365516087,57.954861111111114,22.61182409079036
2026-02-09 09:00:00,96.75,140.0,9,0,2,40,0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,87.75,62.75,82.5,77.75,65.25,61.0,66.0,64.75,72.25,10.893805579315066,86.60416666666667,22.950158034048666,66.69791666666667,27.91378216225012,58.388888888888886,22.881810880491816
2026-02-09 10:00:00,66.5,139.0,10,0,2,40,0,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,96.75,64.75,73.5,79.75,60.0,53.5,58.25,68.0,74.625,14.523902712422675,88.1875,22.939179713080872,68.01041666666667,28.575460661078697,58.81597222222222,23.308856786107896
2026-02-09 11:00:00,43.75,66.75,11,0,2,40,0,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,66.5,87.75,62.25,95.5,57.25,50.5,52.75,63.0,73.45833333333333,14.908400875566235,87.08333333333333,23.688876689024504,68.28125,28.527000225188917,58.93055555555556,23.326306789104432
2026-02-09 12:00:00,42.75,58.5,12,0,2,40,0,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,43.75,96.75,62.75,94.5,38.0,46.5,45.0,54.25,70.375,19.032702120295845,82.77083333333334,26.55450191529914,67.71875,28.88482681458898,58.80555555555556,23.3839365768014
2026-02-09 13:00:00,41.25,46.0,13,0,2,40,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,42.75,66.5,64.75,135.5,27.25,40.0,34.5,40.0,67.04166666666667,22.133920047442498,78.45833333333334,28.59987152969536,67.91666666666667,28.68794500144442,58.77430555555556,23.404140709025622
2026-02-09 14:00:00,26.0,34.5,14,0,2,40,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,41.25,43.75,87.75,122.75,32.25,39.75,29.5,30.0,63.125,24.566109785635696,70.60416666666667,24.098155892602406,68.5,27.9581402939422,58.86805555555556,23.31889958501557
2026-02-09 15:00:00,21.5,35.75,15,0,2,40,0,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,26.0,42.75,96.75,82.5,34.0,40.0,36.0,35.0,52.833333333333336,25.11506851805428,62.54166666666668,21.058855115789232,68.23958333333333,28.33701289513316,58.81944444444444,23.38453888452699
2026-02-09 16:00:00,21.0,33.25,16,0,2,40,0,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,21.5,41.25,66.5,73.5,37.5,42.5,36.0,30.75,40.291666666666664,15.894509009923757,57.45833333333334,23.06951779979533,67.71875,29.098344538674482,58.61805555555556,23.644817949906244
2026-02-09 17:00:00,26.5,32.0,17,0,2,40,0,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,21.0,26.0,43.75,62.25,33.75,45.0,63.75,23.0,32.708333333333336,10.98569145145353,53.08333333333334,24.673166629256823,67.03125,30.02356977189637,58.40972222222222,23.911489722868325
2026-02-09 18:00:00,35.75,42.0,18,0,2,40,0,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,26.5,21.5,42.75,62.75,43.5,47.75,51.0,30.75,29.833333333333332,9.700085910265743,50.10416666666668,25.6063864400089,66.72916666666667,30.40701405306499,57.892361111111114,24.195609338226195
2026-02-09 19:00:00,49.0,81.25,19,0,2,40,0,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,35.75,21.0,41.25,64.75,58.5,67.0,57.5,50.25,28.666666666666668,8.129678140402282,47.85416666666668,25.58041205806751,66.40625,30.704129139185106,57.68055555555556,24.32320597665531
2026-02-09 20:00:00,63.25,71.25,20,0,2,40,0,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,49.0,26.5,26.0,87.75,74.25,72.5,82.0,54.0,29.958333333333332,10.728952263223846,46.54166666666668,25.03289502501164,66.01041666666667,30.871268403847985,57.5625,24.344713036240876
2026-02-09 21:00:00,64.5,70.0,21,0,2,40,0,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,63.25,35.75,21.5,96.75,77.75,71.25,103.25,50.5,36.166666666666664,16.952630081097826,44.50000000000001,22.20590625773223,65.55208333333333,30.825241912260473,57.302083333333336,24.179345215187826
2026-02-09 22:00:00,65.25,73.5,22,0,2,40,0,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,64.5,49.0,21.0,66.5,79.75,72.75,126.75,55.25,43.333333333333336,18.528131764064902,41.81250000000001,16.53478598976082,65.0,30.715737362779283,56.763888888888886,23.565681693463418
2026-02-09 23:00:00,71.25,65.25,23,0,2,40,0,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,65.25,63.25,26.5,43.75,95.5,65.25,91.75,44.75,50.708333333333336,16.563073889425198,41.70833333333334,16.368218003374057,64.39583333333333,30.555181431615583,55.90972222222222,22.059670420853937
2026-02-10 00:00:00,78.0,65.75,0,1,2,41,0,0.0,1.0,0.8660254037844386,0.5000000000000001,71.25,64.5,35.75,42.75,94.5,68.25,66.0,49.75,58.166666666666664,13.219934442597166,44.00000000000001,18.47018481966669,63.385416666666664,29.875282349646845,55.625,21.72025244321988
2026-02-10 01:00:00,66.0,68.75,1,1,2,41,0,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,78.0,65.25,49.0,41.25,135.5,47.5,50.0,46.5,65.20833333333333,9.666199701360117,46.93750000000001,20.896967211446807,62.697916666666664,29.312686373439785,55.791666666666664,21.84665668816902
